"words","freq"
"other",71
"gen",26
"structural",26
"engineering",24
"machined",18
"services",14
"batteries",12
"custom",12
"equipment",12
"test",12
"devices",10
"antenna",8
"assemblies",8
"material",8
"missile",8
"ped",8
"time",8
"iron",7
"cable",6
"encoders",6
"major",6
"measuring",6
"lithium",5
"chargers",4
"clamps",4
"connector",4
"covers",4
"cut",4
"detonator",4
"device",4
"dust",4
"explosive",4
"fuselage",4
"invest",4
"launchers",4
"machine",4
"precision",4
"protect",4
"qualification",4
"receivers",4
"shop",4
"testing",4
"titanium",4
"wire",4
"work",4
"amplifiers",3
"data",3
"items",3
"adaptors",2
"alum",2
"bolts",2
"cast",2
"casting",2
"composites",2
"computer",2
"couplers",2
"fasteners",2
"filter",2
"flex",2
"fuses",2
"gears",2
"hardware",2
"metal",2
"molded",2
"motors",2
"multifunction",2
"nuts",2
"pin",2
"plate",2
"power",2
"pumps",2
"pyrotechnic",2
"ring",2
"rocket",2
"rubber",2
"seals",2
"supplies",2
"transmitters",2
"valves",2
"washers",2
"shafts",1
